Loan Id,Event Type,Timestamp
10188,SMS Delivered,12/23/2024
10188,Email Delivered,1/10/2025
10188,Email Sent,1/16/2025
10188,SMS Sent,7/4/2025
10231,Email Sent,10/29/2024
10231,Email Sent,4/30/2025
10240,Email Delivered,11/28/2024
10240,Email Sent,3/18/2025
10240,Email Sent,4/29/2025
10446,SMS Delivered,11/12/2024
10446,SMS Sent,3/16/2025
10452,SMS Sent,10/29/2024
10452,SMS Delivered,11/15/2024
10452,SMS Delivered,1/18/2025
10452,SMS Sent,3/7/2025
10452,SMS Delivered,5/12/2025
10452,SMS Delivered,7/10/2025
10452,SMS Sent,7/13/2025
10452,SMS Sent,7/11/2025
10452,SMS Sent,7/24/2025
10471,SMS Sent,11/13/2024
10471,SMS Delivered,4/15/2025
10471,Email Delivered,7/17/2025
10564,Email Delivered,1/29/2025
10564,Email Sent,7/22/2025
10567,Email Read,1/7/2025
10567,Email Sent,1/18/2025
10567,Email Sent,1/31/2025
10567,Email Sent,2/2/2025
10567,Email Read,2/9/2025
10567,Email Sent,3/2/2025
10567,Email Delivered,3/2/2025
10567,Email Delivered,3/11/2025
10567,Email Sent,3/19/2025
10567,Email Delivered,4/11/2025
10567,Email Sent,4/14/2025
10567,Email Delivered,4/19/2025
10567,Email Delivered,5/4/2025
10567,Email Delivered,5/26/2025
10567,Email Read,6/9/2025
10567,Email Delivered,6/11/2025
10618,SMS Sent,11/29/2024
10628,SMS Sent,11/19/2024
10628,SMS Sent,1/6/2025
10628,SMS Sent,1/7/2025
10628,SMS Sent,3/31/2025
10628,SMS Sent,5/1/2025
10628,SMS Sent,6/21/2025
10628,SMS Sent,6/29/2025
10662,SMS Sent,11/17/2024
10667,Email Sent,10/28/2024
10667,Email Delivered,11/18/2024
10667,Email Read,11/20/2024
10667,SMS Sent,12/20/2024
10667,Email Delivered,2/9/2025
10667,SMS Sent,2/19/2025
10667,Email Sent,3/3/2025
10667,Email Sent,4/5/2025
10667,Email Delivered,4/24/2025
10667,Email Read,4/27/2025
10667,Email Read,6/1/2025
10667,SMS Delivered,7/11/2025
